Vendor_ID,Vendor_Name,Delivery_Time_Days,Quality_Score,Cost_Variance,On_Time_Delivery,Total_Purchase_Value
1,Vendor_1,9,6.03,-1.88,97.79,300396
2,Vendor_2,6,6.09,3.52,89.53,214899
3,Vendor_3,13,8.1,-4.53,97.45,499036
4,Vendor_4,10,7.6,7.63,95.5,374767
5,Vendor_5,7,6.19,1.75,83.48,387594
6,Vendor_6,9,9.9,0.93,72.86,405570
7,Vendor_7,12,6.93,8.9,81.12,429989
8,Vendor_8,5,6.36,5.91,90.07,465515
9,Vendor_9,9,8.47,-0.1,89.98,93585
10,Vendor_10,13,7.53,3.56,87.74,421369
11,Vendor_11,13,9.93,2.81,78.24,114044
12,Vendor_12,10,7.87,9.42,86.84,485773
13,Vendor_13,7,9.44,7.67,81.49,492296
14,Vendor_14,6,8.72,6.21,99.15,159556
15,Vendor_15,10,7.8,3.1,95.47,52693
16,Vendor_16,10,6.05,3.8,91.65,407403
17,Vendor_17,5,9.77,9.48,77.08,293307
18,Vendor_18,8,8.25,4.11,77.68,250235
19,Vendor_19,7,7.54,-0.86,71.21,75939
20,Vendor_20,4,6.06,-0.56,91.32,492141
21,Vendor_21,10,6.92,-2.52,73.33,486157
22,Vendor_22,14,6.96,-4.77,83.18,202906
23,Vendor_23,8,8.73,1.35,76.05,68047
24,Vendor_24,4,8.44,0.92,96.87,338249
25,Vendor_25,14,9.33,-0.6,84.26,125766
26,Vendor_26,7,6.69,-4.79,86.9,458923
27,Vendor_27,3,7.56,-2.02,90.87,465192
28,Vendor_28,14,6.73,5.67,74.18,94262
29,Vendor_29,12,9.02,6.85,88.13,437261
30,Vendor_30,8,7.7,4.09,86.2,335920
